year,ready_reckoner_value,registration_date,purchaser_age,purchaser_pincode,final_area_sqft,purchaser_micromarket,developer_name,micromarket,project_pincode,primary_or_secondary,floor,rera_project_status,completion_date
,"1,57,71,831",,,,,,,,,,,,
,"83,36,720",,,,,,,,,,,,
,"1,22,51,044",,,,,,,,,,,,
,"1,29,70,866",,,,,,,,,,,,
,"86,88,078",,,,,,,,,,,,
,"48,38,743",,,,,,,,,,,,
,"66,53,309",,,,,,,,,,,,
,"1,07,66,840",,,,,,,,,,,,
,"85,77,701",,,,,,,,,,,,
,"18,13,602",,,,,,,,,,,,
,"72,34,101",,,,,,,,,,,,
,"1,23,43,297",,,,,,,,,,,,
,"1,13,64,598",,,,,,,,,,,,
,"1,05,00,688",,,,,,,,,,,,
,"1,16,57,351",,,,,,,,,,,,
,"1,18,08,038",,,,,,,,,,,,
,"84,37,081",,,,,,,,,,,,
,"80,31,119",,,,,,,,,,,,
,"55,97,816",,,,,,,,,,,,
,"78,41,653",,,,,,,,,,,,
,"75,76,678",,,,,,,,,,,,
,"1,47,81,000",,,,,,,,,,,,
,"1,64,00,786",,,,,,,,,,,,
,"1,10,77,802",,,,,,,,,,,,
,"1,26,19,687",,,,,,,,,,,,
,"2,57,39,561",,,,,,,,,,,,
,"79,78,142",,,,,,,,,,,,
,"1,33,15,637",,,,,,,,,,,,
,"1,12,67,550",,,,,,,,,,,,
,"91,97,047",,,,,,,,,,,,
,"1,13,80,404",,,,,,,,,,,,
,"74,50,500",,,,,,,,,,,,
,"2,20,37,707",,,,,,,,,,,,
,"2,08,04,199",,,,,,,,,,,,
,"1,56,84,398",,,,,,,,,,,,
,"2,11,41,402",,,,,,,,,,,,
,"1,67,49,478",,,,,,,,,,,,
,"1,67,94,102",,,,,,,,,,,,
,"2,69,94,825",,,,,,,,,,,,
,"46,80,690",,,,,,,,,,,,
,"55,35,938",,,,,,,,,,,,
,"91,59,053",,,,,,,,,,,,
,"91,74,580",,,,,,,,,,,,
,"79,35,379",,,,,,,,,,,,
,"1,83,95,648",,,,,,,,,,,,
,"1,31,05,441",,,,,,,,,,,,
,"1,30,58,600",,,,,,,,,,,,
,"1,10,38,300",,,,,,,,,,,,
,"1,53,33,828",,,,,,,,,,,,
,"1,17,97,000",,,,,,,,,,,,
,"1,80,00,492",,,,,,,,,,,,
,"59,05,901",,,,,,,,,,,,
,"1,36,46,904",,,,,,,,,,,,
,"50,10,840",,,,,,,,,,,,
,"88,50,397",,,,,,,,,,,,
,"1,00,28,981",,,,,,,,,,,,
,"1,60,56,313",,,,,,,,,,,,
,"77,80,056",,,,,,,,,,,,
,"72,81,597",,,,,,,,,,,,
,"1,46,83,590",,,,,,,,,,,,
,"58,46,852",,,,,,,,,,,,
,"1,84,29,473",,,,,,,,,,,,
,"74,93,781",,,,,,,,,,,,
,"63,98,875",,,,,,,,,,,,
,"61,14,574",,,,,,,,,,,,
,"1,13,47,830",,,,,,,,,,,,
,"46,69,946",,,,,,,,,,,,
,"80,60,921",,,,,,,,,,,,
,"2,14,99,214",,,,,,,,,,,,
,"1,55,59,904",,,,,,,,,,,,
,"1,74,61,937",,,,,,,,,,,,
,"90,56,530",,,,,,,,,,,,
,"66,87,100",,,,,,,,,,,,
,"1,81,82,725",,,,,,,,,,,,
,"36,07,942",,,,,,,,,,,,
,"75,05,702",,,,,,,,,,,,
,"1,39,54,271",,,,,,,,,,,,
,"1,45,24,383",,,,,,,,,,,,
,"77,96,961",,,,,,,,,,,,
,"88,63,265",,,,,,,,,,,,
,"1,52,66,712",,,,,,,,,,,,
,"99,09,500",,,,,,,,,,,,
,"1,16,31,287",,,,,,,,,,,,
,"46,36,920",,,,,,,,,,,,
,"1,81,51,203",,,,,,,,,,,,
,"2,23,07,935",,,,,,,,,,,,
,"1,36,35,733",,,,,,,,,,,,
,"2,14,82,672",,,,,,,,,,,,
,"1,36,26,764",,,,,,,,,,,,
,"93,69,880",,,,,,,,,,,,
,"86,73,701",,,,,,,,,,,,
,"1,29,06,844",,,,,,,,,,,,
,"39,42,996",,,,,,,,,,,,
,"72,89,134",,,,,,,,,,,,
,"29,99,149",,,,,,,,,,,,
,"1,01,24,708",,,,,,,,,,,,
,"4,39,33,516",,,,,,,,,,,,
,"94,29,432",,,,,,,,,,,,
,"47,25,000",,,,,,,,,,,,
,"1,02,64,002",,,,,,,,,,,,
,"45,01,200",,,,,,,,,,,,
,"45,60,545",,,,,,,,,,,,
,"1,37,16,709",,,,,,,,,,,,
,"2,45,66,805",,,,,,,,,,,,
,"1,20,17,686",,,,,,,,,,,,
,"1,30,34,102",,,,,,,,,,,,
,"52,81,500",,,,,,,,,,,,
,"1,05,06,918",,,,,,,,,,,,
,"1,13,27,743",,,,,,,,,,,,
,"1,06,72,234",,,,,,,,,,,,
,"2,51,28,885",,,,,,,,,,,,
,"79,76,318",,,,,,,,,,,,
,"76,39,742",,,,,,,,,,,,
,"78,47,108",,,,,,,,,,,,
,"66,30,951",,,,,,,,,,,,
,"1,15,28,942",,,,,,,,,,,,
,"70,34,157",,,,,,,,,,,,
,"1,92,69,915",,,,,,,,,,,,
,"1,51,37,570",,,,,,,,,,,,
,"1,37,14,261",,,,,,,,,,,,
,"1,01,71,182",,,,,,,,,,,,
,"1,33,24,013",,,,,,,,,,,,
,"63,17,134",,,,,,,,,,,,
,"1,35,47,578",,,,,,,,,,,,
,"51,86,322",,,,,,,,,,,,
,"1,08,61,863",,,,,,,,,,,,
,"95,76,500",,,,,,,,,,,,
,"70,41,340",,,,,,,,,,,,
,"67,24,500",,,,,,,,,,,,
,"79,29,412",,,,,,,,,,,,
,"89,10,540",,,,,,,,,,,,
,"1,19,84,900",,,,,,,,,,,,
,"90,21,697",,,,,,,,,,,,
,"80,75,534",,,,,,,,,,,,
,"81,36,960",,,,,,,,,,,,
,"91,50,732",,,,,,,,,,,,
,"70,42,174",,,,,,,,,,,,
,"54,08,800",,,,,,,,,,,,
,"1,47,54,278",,,,,,,,,,,,
,"2,20,93,349",,,,,,,,,,,,
,"65,89,257",,,,,,,,,,,,
,"1,62,32,235",,,,,,,,,,,,
,"79,31,660",,,,,,,,,,,,
,"71,02,023",,,,,,,,,,,,
,"35,55,802",,,,,,,,,,,,
,"1,46,29,366",,,,,,,,,,,,
,"1,44,70,421",,,,,,,,,,,,
,"2,56,61,547",,,,,,,,,,,,
,"1,31,52,318",,,,,,,,,,,,
,"40,06,666",,,,,,,,,,,,
,"47,79,170",,,,,,,,,,,,
,"1,31,63,178",,,,,,,,,,,,
,"83,13,729",,,,,,,,,,,,
,"1,21,13,173",,,,,,,,,,,,
,"53,45,046",,,,,,,,,,,,
,"74,38,472",,,,,,,,,,,,
,"1,74,05,700",,,,,,,,,,,,
,"1,32,79,197",,,,,,,,,,,,
,"89,06,289",,,,,,,,,,,,
,"1,16,64,373",,,,,,,,,,,,
,"86,28,000",,,,,,,,,,,,
,"87,49,964",,,,,,,,,,,,
,"97,40,226",,,,,,,,,,,,
,"94,80,113",,,,,,,,,,,,
,"52,42,085",,,,,,,,,,,,
,"83,40,400",,,,,,,,,,,,
,"76,19,862",,,,,,,,,,,,
,"1,14,12,000",,,,,,,,,,,,
,"1,42,75,875",,,,,,,,,,,,
,"2,19,04,340",,,,,,,,,,,,
,"2,36,64,982",,,,,,,,,,,,
,"47,11,400",,,,,,,,,,,,
,"30,20,836",,,,,,,,,,,,
,"65,96,073",,,,,,,,,,,,
,"58,98,984",,,,,,,,,,,,
,"71,02,690",,,,,,,,,,,,
,"72,16,476",,,,,,,,,,,,
,"63,68,993",,,,,,,,,,,,
,"1,10,30,782",,,,,,,,,,,,
,"1,10,91,848",,,,,,,,,,,,
,"1,16,66,367",,,,,,,,,,,,
,"81,39,132",,,,,,,,,,,,
,"83,51,655",,,,,,,,,,,,
,"1,24,86,800",,,,,,,,,,,,
,"1,28,71,326",,,,,,,,,,,,
,"1,95,94,151",,,,,,,,,,,,
,"53,43,792",,,,,,,,,,,,
,"1,87,06,274",,,,,,,,,,,,
,"98,87,977",,,,,,,,,,,,
,"1,71,93,445",,,,,,,,,,,,
,"1,17,26,392",,,,,,,,,,,,
,"91,13,303",,,,,,,,,,,,
,"1,78,81,220",,,,,,,,,,,,
,"1,49,87,122",,,,,,,,,,,,
,"65,56,866",,,,,,,,,,,,
,"1,75,04,000",,,,,,,,,,,,
,"1,01,28,826",,,,,,,,,,,,
,"1,19,03,753",,,,,,,,,,,,
,"51,08,700",,,,,,,,,,,,
,"1,03,41,230",,,,,,,,,,,,
,"84,66,398",,,,,,,,,,,,
,"78,28,947",,,,,,,,,,,,
,"1,38,97,491",,,,,,,,,,,,
,"38,63,185",,,,,,,,,,,,
,"1,16,16,208",,,,,,,,,,,,
,"1,37,64,372",,,,,,,,,,,,
,"1,18,46,073",,,,,,,,,,,,
,"79,90,157",,,,,,,,,,,,
,"16,32,600",,,,,,,,,,,,
,"75,07,381",,,,,,,,,,,,
,"74,98,480",,,,,,,,,,,,
,"1,24,12,256",,,,,,,,,,,,
,"28,46,340",,,,,,,,,,,,
,"59,20,148",,,,,,,,,,,,
,"62,42,673",,,,,,,,,,,,
,"45,14,294",,,,,,,,,,,,
,"99,72,287",,,,,,,,,,,,
,"49,65,494",,,,,,,,,,,,
,"88,23,032",,,,,,,,,,,,
,"1,25,97,996",,,,,,,,,,,,
,"66,71,984",,,,,,,,,,,,
,"58,73,138",,,,,,,,,,,,
,"1,47,68,710",,,,,,,,,,,,
,"1,75,90,621",,,,,,,,,,,,
,"2,40,82,928",,,,,,,,,,,,
,"41,72,501",,,,,,,,,,,,
,"11,55,060",,,,,,,,,,,,
,"1,36,58,584",,,,,,,,,,,,
,"47,91,653",,,,,,,,,,,,
,"55,93,800",,,,,,,,,,,,
,"67,01,046",,,,,,,,,,,,
,"55,64,120",,,,,,,,,,,,
,"1,71,03,416",,,,,,,,,,,,
,"77,32,553",,,,,,,,,,,,
,"79,94,028",,,,,,,,,,,,
,"53,33,378",,,,,,,,,,,,
,"1,48,83,423",,,,,,,,,,,,
,"62,19,907",,,,,,,,,,,,
,"77,16,524",,,,,,,,,,,,
,"79,20,990",,,,,,,,,,,,
,"1,28,13,240",,,,,,,,,,,,
,"39,38,362",,,,,,,,,,,,
,"92,30,048",,,,,,,,,,,,
,"1,39,31,275",,,,,,,,,,,,
,"1,04,29,690",,,,,,,,,,,,
,"1,94,34,930",,,,,,,,,,,,
,"1,00,04,694",,,,,,,,,,,,
,"46,07,859",,,,,,,,,,,,
,"33,09,900",,,,,,,,,,,,
,"35,36,148",,,,,,,,,,,,
,"35,56,128",,,,,,,,,,,,
,"75,97,078",,,,,,,,,,,,
,"81,05,246",,,,,,,,,,,,
,"1,60,92,112",,,,,,,,,,,,
,"1,09,85,768",,,,,,,,,,,,
,"65,54,687",,,,,,,,,,,,
,"1,22,72,776",,,,,,,,,,,,
,"74,05,206",,,,,,,,,,,,
,"47,47,000",,,,,,,,,,,,
,"38,08,110",,,,,,,,,,,,
,"85,17,672",,,,,,,,,,,,
,"76,00,286",,,,,,,,,,,,
,"60,89,351",,,,,,,,,,,,
,"63,15,990",,,,,,,,,,,,
,"1,25,09,145",,,,,,,,,,,,
,"71,27,925",,,,,,,,,,,,
,"76,45,249",,,,,,,,,,,,
,"1,25,06,165",,,,,,,,,,,,
,"34,08,987",,,,,,,,,,,,
,"1,73,13,194",,,,,,,,,,,,
,"1,68,39,268",,,,,,,,,,,,
,"1,70,12,920",,,,,,,,,,,,
,"1,55,38,962",,,,,,,,,,,,
,"62,10,521",,,,,,,,,,,,
,"1,25,07,522",,,,,,,,,,,,
,"43,50,469",,,,,,,,,,,,
,"1,88,88,542",,,,,,,,,,,,
,"1,52,74,586",,,,,,,,,,,,
,"2,10,74,752",,,,,,,,,,,,
,"83,31,686",,,,,,,,,,,,
,"89,23,765",,,,,,,,,,,,
,"1,59,21,272",,,,,,,,,,,,
,"93,29,247",,,,,,,,,,,,
,"52,38,922",,,,,,,,,,,,
,"93,90,117",,,,,,,,,,,,
,"52,26,297",,,,,,,,,,,,
,"1,74,53,651",,,,,,,,,,,,
,"64,26,115",,,,,,,,,,,,
,"1,91,19,530",,,,,,,,,,,,
,"77,27,282",,,,,,,,,,,,
,"99,60,000",,,,,,,,,,,,
,"68,98,982",,,,,,,,,,,,
,"87,12,396",,,,,,,,,,,,
,"1,04,62,112",,,,,,,,,,,,
,"62,52,765",,,,,,,,,,,,
,"54,91,336",,,,,,,,,,,,
,"2,70,49,905",,,,,,,,,,,,
,"1,38,52,227",,,,,,,,,,,,
,"1,58,80,920",,,,,,,,,,,,
,"52,03,638",,,,,,,,,,,,
,"1,31,39,874",,,,,,,,,,,,
,"1,85,18,400",,,,,,,,,,,,
,"83,49,540",,,,,,,,,,,,
,"1,31,31,102",,,,,,,,,,,,
,"86,59,971",,,,,,,,,,,,
,"75,70,843",,,,,,,,,,,,
,"4,78,33,925",,,,,,,,,,,,
,"57,91,490",,,,,,,,,,,,
,"92,44,330",,,,,,,,,,,,
,"2,43,54,058",,,,,,,,,,,,
,"42,84,526",,,,,,,,,,,,
,"58,64,520",,,,,,,,,,,,
,"85,58,257",,,,,,,,,,,,
,"1,34,47,230",,,,,,,,,,,,
,"52,52,576",,,,,,,,,,,,
,"74,25,315",,,,,,,,,,,,
,"1,01,81,868",,,,,,,,,,,,
,"1,50,85,548",,,,,,,,,,,,
,"1,46,28,636",,,,,,,,,,,,
,"57,82,633",,,,,,,,,,,,
,"96,26,244",,,,,,,,,,,,
,"2,47,06,816",,,,,,,,,,,,
,"3,22,26,329",,,,,,,,,,,,
,"1,13,27,688",,,,,,,,,,,,
,"1,38,61,158",,,,,,,,,,,,
,"1,62,16,569",,,,,,,,,,,,
,"1,17,37,199",,,,,,,,,,,,
,"93,01,984",,,,,,,,,,,,
,"2,52,48,479",,,,,,,,,,,,
,"82,50,632",,,,,,,,,,,,
,"1,45,19,473",,,,,,,,,,,,
,"1,74,62,474",,,,,,,,,,,,
,"82,69,346",,,,,,,,,,,,
,"1,51,84,816",,,,,,,,,,,,
,"2,86,11,648",,,,,,,,,,,,
,"51,10,057",,,,,,,,,,,,
,"81,43,391",,,,,,,,,,,,
,"1,59,68,702",,,,,,,,,,,,
,"68,67,504",,,,,,,,,,,,
,"1,04,98,424",,,,,,,,,,,,
,"1,26,61,340",,,,,,,,,,,,
,"2,05,11,922",,,,,,,,,,,,
,"66,18,315",,,,,,,,,,,,
,"66,80,214",,,,,,,,,,,,
,"1,74,58,566",,,,,,,,,,,,
,"1,35,62,173",,,,,,,,,,,,
,"1,34,98,919",,,,,,,,,,,,
,"70,03,973",,,,,,,,,,,,
,"86,13,500",,,,,,,,,,,,
,"1,43,99,799",,,,,,,,,,,,
,"41,22,110",,,,,,,,,,,,
,"54,53,328",,,,,,,,,,,,
,"1,53,18,504",,,,,,,,,,,,
,"55,53,209",,,,,,,,,,,,
,"3,33,07,712",,,,,,,,,,,,
,"74,71,995",,,,,,,,,,,,
,"1,79,25,205",,,,,,,,,,,,
,"45,02,897",,,,,,,,,,,,
,"51,45,000",,,,,,,,,,,,
,"1,22,58,933",,,,,,,,,,,,
,"74,22,996",,,,,,,,,,,,
,"1,56,03,000",,,,,,,,,,,,
,"1,40,86,233",,,,,,,,,,,,
,"83,92,591",,,,,,,,,,,,
,"47,06,251",,,,,,,,,,,,
,"63,22,405",,,,,,,,,,,,
,"1,56,09,739",,,,,,,,,,,,
,"3,14,68,060",,,,,,,,,,,,
,"72,84,011",,,,,,,,,,,,
,"44,89,469",,,,,,,,,,,,
,"1,42,56,540",,,,,,,,,,,,
,"83,90,894",,,,,,,,,,,,
,"36,29,419",,,,,,,,,,,,
,"96,87,204",,,,,,,,,,,,
,"1,12,14,141",,,,,,,,,,,,
,"1,33,63,334",,,,,,,,,,,,
,"66,25,674",,,,,,,,,,,,
,"1,33,62,663",,,,,,,,,,,,
,"83,63,728",,,,,,,,,,,,
,"87,44,735",,,,,,,,,,,,
,"1,77,48,638",,,,,,,,,,,,
,"49,62,179",,,,,,,,,,,,
,"37,56,287",,,,,,,,,,,,
,"1,84,43,361",,,,,,,,,,,,
,"2,77,57,057",,,,,,,,,,,,
,"48,94,953",,,,,,,,,,,,
,"66,42,720",,,,,,,,,,,,
,"1,43,51,400",,,,,,,,,,,,
,"62,21,474",,,,,,,,,,,,
,"94,32,600",,,,,,,,,,,,
,"95,52,377",,,,,,,,,,,,
,"80,72,948",,,,,,,,,,,,
,"48,82,885",,,,,,,,,,,,
,"1,26,67,875",,,,,,,,,,,,
,"79,45,000",,,,,,,,,,,,
,"51,86,229",,,,,,,,,,,,
,"48,90,270",,,,,,,,,,,,
,"1,24,11,928",,,,,,,,,,,,
,"54,12,435",,,,,,,,,,,,
,"2,35,04,392",,,,,,,,,,,,
,"3,12,66,871",,,,,,,,,,,,
,"43,82,032",,,,,,,,,,,,
,"2,03,64,368",,,,,,,,,,,,
,"2,21,31,963",,,,,,,,,,,,
,"1,39,98,635",,,,,,,,,,,,
,"47,62,656",,,,,,,,,,,,
,"1,60,36,500",,,,,,,,,,,,
,"94,25,191",,,,,,,,,,,,
,"45,50,973",,,,,,,,,,,,
,"1,00,07,582",,,,,,,,,,,,
,"59,50,925",,,,,,,,,,,,
,"1,37,28,483",,,,,,,,,,,,
,"6,52,15,278",,,,,,,,,,,,
,"71,48,152",,,,,,,,,,,,
,"1,61,72,833",,,,,,,,,,,,
,"4,79,71,235",,,,,,,,,,,,
,"77,64,371",,,,,,,,,,,,
,"1,32,77,252",,,,,,,,,,,,
,"46,45,425",,,,,,,,,,,,
,"1,45,11,077",,,,,,,,,,,,
,"1,31,05,159",,,,,,,,,,,,
,"1,11,04,209",,,,,,,,,,,,
,"1,54,00,696",,,,,,,,,,,,
,"1,05,41,611",,,,,,,,,,,,
,"63,80,272",,,,,,,,,,,,
,"1,84,22,356",,,,,,,,,,,,
,"1,81,40,097",,,,,,,,,,,,
,"1,04,38,843",,,,,,,,,,,,
,"1,13,49,546",,,,,,,,,,,,
,"67,55,561",,,,,,,,,,,,
,"55,21,034",,,,,,,,,,,,
,"1,97,19,567",,,,,,,,,,,,
,"1,01,85,294",,,,,,,,,,,,
,"82,64,520",,,,,,,,,,,,
,"80,16,658",,,,,,,,,,,,
,"1,15,36,729",,,,,,,,,,,,
,"1,56,82,719",,,,,,,,,,,,
,"1,69,07,962",,,,,,,,,,,,
,"65,29,698",,,,,,,,,,,,
,"1,89,64,617",,,,,,,,,,,,
,"1,10,52,222",,,,,,,,,,,,
,"1,28,37,495",,,,,,,,,,,,
,"1,62,86,626",,,,,,,,,,,,
,"34,40,807",,,,,,,,,,,,
,"47,90,823",,,,,,,,,,,,
,"1,53,93,937",,,,,,,,,,,,
,"1,15,17,409",,,,,,,,,,,,
,"69,62,760",,,,,,,,,,,,
,"1,22,06,220",,,,,,,,,,,,
,"2,20,55,640",,,,,,,,,,,,
,"1,12,21,156",,,,,,,,,,,,
,"99,54,500",,,,,,,,,,,,
,"1,49,02,213",,,,,,,,,,,,
,"1,21,73,334",,,,,,,,,,,,
,"1,47,07,151",,,,,,,,,,,,
,"1,27,10,421",,,,,,,,,,,,
,"1,54,83,900",,,,,,,,,,,,
,"74,11,445",,,,,,,,,,,,
,"29,87,254",,,,,,,,,,,,
,"16,49,174",,,,,,,,,,,,
,"70,27,441",,,,,,,,,,,,
,"1,53,89,568",,,,,,,,,,,,
,"2,12,32,621",,,,,,,,,,,,
,"1,85,20,148",,,,,,,,,,,,
,"11,89,045",,,,,,,,,,,,
,"51,04,526",,,,,,,,,,,,
,"39,66,646",,,,,,,,,,,,
,"1,12,34,009",,,,,,,,,,,,
,"50,83,578",,,,,,,,,,,,
,"1,10,82,300",,,,,,,,,,,,
,"1,40,76,051",,,,,,,,,,,,
,"1,56,19,913",,,,,,,,,,,,
,"1,21,85,500",,,,,,,,,,,,
,"1,48,26,210",,,,,,,,,,,,
,"88,72,418",,,,,,,,,,,,
,"90,98,500",,,,,,,,,,,,
,"48,43,379",,,,,,,,,,,,
,"78,53,168",,,,,,,,,,,,
,"1,30,79,991",,,,,,,,,,,,
,"1,68,68,668",,,,,,,,,,,,
,"3,84,08,231",,,,,,,,,,,,
,"72,29,704",,,,,,,,,,,,
,"73,95,417",,,,,,,,,,,,
,"1,76,93,892",,,,,,,,,,,,
,"1,81,78,241",,,,,,,,,,,,
,"59,99,052",,,,,,,,,,,,
,"2,28,37,402",,,,,,,,,,,,
,"2,98,22,666",,,,,,,,,,,,
,"1,14,45,449",,,,,,,,,,,,
,"58,15,383",,,,,,,,,,,,
,"1,54,39,554",,,,,,,,,,,,
,"1,46,47,981",,,,,,,,,,,,
,"1,11,66,091",,,,,,,,,,,,
,"1,36,95,450",,,,,,,,,,,,
,"97,08,034",,,,,,,,,,,,
,"77,71,800",,,,,,,,,,,,
,"73,15,621",,,,,,,,,,,,
,"47,88,570",,,,,,,,,,,,
,"1,34,94,707",,,,,,,,,,,,
,"1,26,74,384",,,,,,,,,,,,
,"33,67,500",,,,,,,,,,,,
,"1,35,29,751",,,,,,,,,,,,
,"59,17,891",,,,,,,,,,,,
,"1,29,59,875",,,,,,,,,,,,
,"82,85,207",,,,,,,,,,,,
,"2,43,37,733",,,,,,,,,,,,
,"5,14,95,476",,,,,,,,,,,,
,"1,40,06,365",,,,,,,,,,,,
,"82,06,156",,,,,,,,,,,,
,"1,14,42,579",,,,,,,,,,,,
,"72,95,052",,,,,,,,,,,,
,"2,41,55,390",,,,,,,,,,,,
,"58,33,153",,,,,,,,,,,,
,"43,32,000",,,,,,,,,,,,
,"1,85,01,211",,,,,,,,,,,,
,"1,38,54,880",,,,,,,,,,,,
,"1,65,13,954",,,,,,,,,,,,
,"1,57,25,177",,,,,,,,,,,,
,"50,49,055",,,,,,,,,,,,
,"50,79,408",,,,,,,,,,,,
,"68,14,682",,,,,,,,,,,,
,"75,52,376",,,,,,,,,,,,
,"79,73,309",,,,,,,,,,,,
,"79,32,944",,,,,,,,,,,,
,"94,47,754",,,,,,,,,,,,
,"1,05,95,143",,,,,,,,,,,,
,"90,95,017",,,,,,,,,,,,
,"73,07,146",,,,,,,,,,,,
,"51,08,000",,,,,,,,,,,,
,"1,72,75,626",,,,,,,,,,,,
,"91,29,096",,,,,,,,,,,,
,"78,22,487",,,,,,,,,,,,
,"1,20,74,555",,,,,,,,,,,,
,"1,56,17,467",,,,,,,,,,,,
,"1,10,45,344",,,,,,,,,,,,
,"1,17,14,811",,,,,,,,,,,,
,"1,61,23,734",,,,,,,,,,,,
,"93,72,127",,,,,,,,,,,,
,"79,06,006",,,,,,,,,,,,
,"95,47,413",,,,,,,,,,,,
,"1,51,49,151",,,,,,,,,,,,
,"1,38,81,292",,,,,,,,,,,,
,"83,37,791",,,,,,,,,,,,
,"1,32,16,582",,,,,,,,,,,,
,"53,47,858",,,,,,,,,,,,
,"2,50,35,478",,,,,,,,,,,,
,"1,03,02,526",,,,,,,,,,,,
,"83,47,165",,,,,,,,,,,,
,"56,91,546",,,,,,,,,,,,
,"48,78,934",,,,,,,,,,,,
,"1,70,01,160",,,,,,,,,,,,
,"77,15,077",,,,,,,,,,,,
,"2,13,19,870",,,,,,,,,,,,
,"34,66,735",,,,,,,,,,,,
,"84,95,370",,,,,,,,,,,,
,"1,04,84,641",,,,,,,,,,,,
,"1,38,91,146",,,,,,,,,,,,
,"1,16,81,593",,,,,,,,,,,,
,"38,90,675",,,,,,,,,,,,
,"69,84,387",,,,,,,,,,,,
,"67,67,276",,,,,,,,,,,,
,"2,30,81,997",,,,,,,,,,,,
,"58,96,916",,,,,,,,,,,,
,"83,07,465",,,,,,,,,,,,
,"75,65,303",,,,,,,,,,,,
,"1,57,47,370",,,,,,,,,,,,
,"79,93,586",,,,,,,,,,,,
,"1,10,66,996",,,,,,,,,,,,
,"1,67,29,692",,,,,,,,,,,,
,"85,16,109",,,,,,,,,,,,
,"2,24,46,558",,,,,,,,,,,,
,"1,76,46,929",,,,,,,,,,,,
,"41,55,245",,,,,,,,,,,,
,"39,06,420",,,,,,,,,,,,
,"1,28,58,490",,,,,,,,,,,,
,"2,05,08,918",,,,,,,,,,,,
,"1,16,27,700",,,,,,,,,,,,
,"67,72,010",,,,,,,,,,,,
,"86,65,287",,,,,,,,,,,,
,"33,67,429",,,,,,,,,,,,
,"44,57,156",,,,,,,,,,,,
,"42,68,818",,,,,,,,,,,,
,"2,33,55,842",,,,,,,,,,,,
,"83,47,601",,,,,,,,,,,,
,"76,83,039",,,,,,,,,,,,
,"89,34,299",,,,,,,,,,,,
,"1,81,21,146",,,,,,,,,,,,
,"71,51,815",,,,,,,,,,,,
,"1,56,69,981",,,,,,,,,,,,
,"65,77,073",,,,,,,,,,,,
,"57,87,005",,,,,,,,,,,,
,"1,24,17,500",,,,,,,,,,,,
,"69,74,623",,,,,,,,,,,,
,"57,44,554",,,,,,,,,,,,
,"1,66,86,408",,,,,,,,,,,,
,"62,53,000",,,,,,,,,,,,
,"1,24,41,900",,,,,,,,,,,,
,"87,20,440",,,,,,,,,,,,
,"43,34,260",,,,,,,,,,,,
,"75,64,320",,,,,,,,,,,,
,"97,73,602",,,,,,,,,,,,
,"64,91,000",,,,,,,,,,,,
,"40,78,083",,,,,,,,,,,,
,"1,19,24,273",,,,,,,,,,,,
,"1,16,36,415",,,,,,,,,,,,
,"31,37,945",,,,,,,,,,,,
,"74,41,542",,,,,,,,,,,,
,"33,87,301",,,,,,,,,,,,
,"1,80,12,386",,,,,,,,,,,,
,"1,99,12,475",,,,,,,,,,,,
,"1,36,21,500",,,,,,,,,,,,
,"2,98,36,804",,,,,,,,,,,,
,"1,48,85,319",,,,,,,,,,,,
,"1,36,97,914",,,,,,,,,,,,
,"1,71,15,856",,,,,,,,,,,,
,"65,76,000",,,,,,,,,,,,
,"1,24,90,684",,,,,,,,,,,,
,"88,41,543",,,,,,,,,,,,
,"68,83,752",,,,,,,,,,,,
,"1,74,64,500",,,,,,,,,,,,
,"39,74,889",,,,,,,,,,,,
,"90,13,500",,,,,,,,,,,,
,"55,01,390",,,,,,,,,,,,
,"1,53,79,799",,,,,,,,,,,,
,"50,09,943",,,,,,,,,,,,
,"73,64,265",,,,,,,,,,,,
,"89,81,880",,,,,,,,,,,,
,"1,93,61,973",,,,,,,,,,,,
,"1,21,34,745",,,,,,,,,,,,
,"1,55,38,823",,,,,,,,,,,,
,"3,78,18,889",,,,,,,,,,,,
,"85,51,889",,,,,,,,,,,,
,"2,12,45,511",,,,,,,,,,,,
,"98,37,488",,,,,,,,,,,,
,"85,17,535",,,,,,,,,,,,
,"49,04,425",,,,,,,,,,,,
,"78,64,977",,,,,,,,,,,,
,"1,21,94,000",,,,,,,,,,,,
,"1,29,14,234",,,,,,,,,,,,
,"2,73,30,035",,,,,,,,,,,,
,"91,19,137",,,,,,,,,,,,
,"1,25,24,738",,,,,,,,,,,,
,"59,91,857",,,,,,,,,,,,
,"1,58,27,790",,,,,,,,,,,,
,"1,43,97,399",,,,,,,,,,,,
,"1,02,42,159",,,,,,,,,,,,
,"49,02,835",,,,,,,,,,,,
,"1,22,53,407",,,,,,,,,,,,
,"1,00,07,495",,,,,,,,,,,,
,"49,99,449",,,,,,,,,,,,
,"53,55,059",,,,,,,,,,,,
,"2,66,90,030",,,,,,,,,,,,
,"72,91,711",,,,,,,,,,,,
,"64,82,622",,,,,,,,,,,,
,"1,10,54,500",,,,,,,,,,,,
,"1,74,76,925",,,,,,,,,,,,
,"2,37,96,672",,,,,,,,,,,,
,"74,32,232",,,,,,,,,,,,
,"72,18,025",,,,,,,,,,,,
,"85,35,389",,,,,,,,,,,,
,"1,94,02,530",,,,,,,,,,,,
,"1,54,21,580",,,,,,,,,,,,
,"1,59,94,604",,,,,,,,,,,,
